DEPARTAMENTO,PROVINCIA,DISTRITO,DISTANCIA,UBIGEO,ANIO,TOTAL_POBLACION,TOTAL_VIVIENDA,VIVIENDAS_HABITADAS,POBLACION_CON_COBERTURA,POBLACION_SIN_COBERTURA,FECHA_CORTE,Latitude,Longitude
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,14,5,5,14.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,148,37,37,148.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,80,25,20,80.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,290,58,52,290.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,3,12,3,,,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,600,150,85,600.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,260,98,65,260.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,312,94,78,312.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,108,31,27,108.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,42,14,14,42.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,232,64,58,100.0,132.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,232,60,58,232.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,12,3,3,12.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,55,11,11,55.0,0.0,20230810,-12.9019391,-73.20706837723769
